date,T,VPD,PAR,Rain,CO2,fAPAR,TSA,TSB,MB
1960-01-18,-7.65331729857838,0.0179408847324687,1.43324430519355,0,380,0.7,-1.3307178999671,-1.39218304864833,0.338218036638147
1960-01-19,-0.733175716741664,-0.00298713786822221,0,8.59235244076294,380,0.7,-0.185389218142895,-0.202757512368373,0.344279200116534
1960-01-20,-7.83618517071287,0.028664665059558,2.61381637403772,0,380,0.7,-4.22343490659529,-4.16429723424356,0.328164837396714
1960-01-21,-13.0055224829802,0.0823919461696921,2.14969388699006,0,380,0.7,-5.76596850944453,-5.56115921145548,0.328892083039037
1960-01-22,-12.325338065839,0.0319204427378569,2.58703347727416,0,380,0.7,-4.76250630585538,-4.7595155434097,0.33207953152233
1960-01-23,0.922665964923814,-0.000460788370971885,0,6.09837397108283,380,0.7,-3.13387579379676,-3.2424714143603,0.330065399101662
1960-01-24,8.58914570783218,-0.0293268938834087,0,0,380,0.7,-2.36035494709213,-2.426556000282,0.33785529060763
1960-01-25,10.771922175259,0.0194904133182782,0.628168447333547,0,380,0.7,0.348916837679574,0.363342188277101,0.363734183342122
1960-01-26,8.79836489247845,-0.0172681948602156,0,0,380,0.7,1.73508629031532,1.61796278851324,0.373933888915917
1960-01-27,-2.7874619090395,0.00392318777885881,1.25329226211489,0,380,0.7,0.0908962364843204,0.0325063700328327,0.368276453956896
1960-01-28,-9.01611282251753,-0.00939473321645011,0.687053190658041,0,380,0.7,-0.901160340131186,-1.05469069127377,0.356471451932003
1960-01-29,-10.0720968225873,-0.00677603343635501,0.924086356698518,0,380,0.7,0.424959207461847,0.276506338434768,0.353537130965886
1960-01-30,-14.8623027893242,-0.0281948288446874,1.08143049744949,0,380,0.7,-0.0649591288241371,-0.114333153605563,0.346071412423678
1960-01-31,-20.4644584772019,-0.0213426231495234,3.02477110918662,0,380,0.7,-5.32402175313179,-5.42494965501046,0.330487838241111
1960-02-01,-13.0107661220915,-0.0199435829847779,0.346926042789939,0,380,0.7,-2.57090363858043,-2.73549153307654,0.333454635102448
1960-02-02,-14.9221644023558,-0.0127427242482838,2.00186213908304,0,380,0.7,-3.86633290574936,-3.99716920242345,0.329678522603896
1960-02-03,-19.4533043875554,-0.0019726679295849,3.29789913211617,0,380,0.7,-6.35572867501805,-6.46801881155665,0.32895944684452
1960-02-04,-12.6903571335397,0.0219730537777883,4.0779088407634,0,380,0.7,-4.13865976378027,-4.29616450046971,0.325006503264692
1960-02-05,-3.95921043969484,0.0182828018001868,2.53220522576218,0,380,0.7,-2.98392570839537,-3.13324876041217,0.328335584936557
1960-02-06,-3.49807599421685,0.017143706725893,3.01464203563752,0,380,0.7,-2.23987358871959,-2.36085425734763,0.324009879082138
1960-02-07,3.04702304531661,0.0274749005680085,3.28433041184684,0,380,0.7,-0.204304542738525,-0.227035275423567,0.320976726247383
1960-02-08,4.06055190455395,-0.0233647485294893,0,0,380,0.7,0.239428764282229,0.234754970361063,0.314485157358183
1960-02-09,11.9686737003157,0.0960318385529742,1.20082796133831,1.28509857670143,380,0.7,1.58415441969666,1.45242591357292,0.321167399281962
1960-02-10,5.58658022797317,0.073328625120498,1.240790789386,0,380,0.7,4.33222938786733,4.33178936277786,0.325410077156028
1960-02-11,-9.06926763852385,0.0348676149390248,8.82422591850774,0,380,0.7,2.2688863602434,2.38095349741347,0.316988096073108
